,Model ID,README Issues
0,279,n
1,2487,
2,2488,
3,2730,
4,2733,
5,2796,
6,2798,
7,2937,
8,3167,
9,3263,
10,3264,
11,3289,
12,3332,
13,3342,
14,3343,
15,3344,
16,3434,
17,3454,
18,3457,
19,3483,
20,3488,
21,3491,
22,3493,
23,3507,
24,3509,
25,3511,
26,3533,
27,3648,
28,3658,
29,3660,
30,3665,
31,3670,
32,3673,
33,3676,
34,3677,
35,3682,
36,3684,
37,3785,
38,3793,
39,3798,
40,3800,
41,3801,
42,3802,
43,3805,
44,3807,
45,3808,
46,3810,
47,3812,
48,3815,
49,3817,
50,5426,
51,6763,
52,7176,
53,7386,
54,7399,
55,7400,
56,7485,
57,7509,
58,7659,
59,7907,
60,7988,
61,8115,
62,8210,
63,8284,
64,9769,
65,9848,
66,9849,
67,9851,
68,9852,
69,9853,
70,9888,
71,9889,
72,10360,
73,12631,
74,17663,
75,17664,
76,18197,
77,18198,
78,18500,
79,18501,
80,18502,
81,18738,
82,18742,
83,18871,
84,19022,
85,19176,
86,19214,
87,19366,
88,19491,
89,19591,
90,19696,
91,19698,
92,19746,
93,19747,
94,19920,
95,20007,
96,20014,
97,20015,
98,20212,
99,20756,
100,21329,
101,21984,
102,22203,
103,26997,
104,28189,
105,28316,
106,29942,
107,32992,
108,33728,
109,33975,
110,33986,
111,34163,
112,34168,
113,34558,
114,34560,
115,34606,
116,35358,
117,35781,
118,36834,
119,36861,
120,36869,
121,36956,
122,37103,
123,37129,
124,37436,
125,37819,
126,37856,
127,37857,
128,39948,
129,39949,
130,42020,
131,42022,
132,42036,
133,42037,
134,42044,
135,42046,
136,42047,
137,42321,
138,42322,
139,42323,
140,43039,
141,44050,
142,44972,
143,45513,
144,45525,
145,45539,
146,46839,
147,48332,
148,48506,
149,49305,
150,50207,
151,50210,
152,50219,
153,50391,
154,50392,
155,50656,
156,50997,
157,51022,
158,51196,
159,51781,
160,52034,
161,53425,
162,53427,
163,53435,
164,53437,
165,53451,
166,53457,
167,53559,
168,53569,
169,53572,
170,53869,
171,53876,
172,53893,
173,53894,
174,53965,
175,54141,
176,54154,
177,54896,
178,54903,
179,55035,
180,55273,
181,55748,
182,55749,
183,55756,
184,55859,
185,56012,
186,57905,
187,57910,
188,58172,
189,58195,
190,58199,
191,58581,
192,58582,
193,58957,
194,59479,
195,59480,
196,59581,
197,59582,
198,62266,
199,62268,
200,62272,
201,62284,
202,62285,
203,62286,
204,62287,
205,62654,
206,62661,
207,62673,
208,62676,
209,64167,
210,64170,
211,64171,
212,64195,
213,64212,
214,64216,
215,64228,
216,64229,
217,64242,
218,64255,
219,64259,
220,64261,
221,64266,
222,64285,
223,64296,
224,65412,
225,66268,
226,71312,
227,71317,
228,74298,
229,76879,
230,76883,
231,79145,
232,79237,
233,79238,
234,79461,
235,79465,
236,79471,
237,79488,
238,80769,
239,82364,
240,82385,
241,82392,
242,82394,
243,82758,
244,82784,
245,82849,
246,82891,
247,83319,
248,83320,
249,83344,
250,83472,
251,83491,
252,83508,
253,83512,
254,83514,
255,83516,
256,83517,
257,83520,
258,83521,
259,83523,
260,83528,
261,83547,
262,83558,
263,83559,
264,83560,
265,83562,
266,83570,
267,83575,
268,83590,
269,84167,
270,84589,
271,84593,
272,84599,
273,84606,
274,84612,
275,84627,
276,84641,
277,84649,
278,84655,
279,85112,
280,85981,
281,86537,
282,86538,
283,87216,
284,87278,
285,87284,
286,87450,
287,87454,
288,87473,
289,87535,
290,87546,
291,87581,
292,87582,
293,87585,
294,87751,
295,87760,
296,87762,
297,91387,
298,91893,
299,91898,
300,91899,
301,93315,
302,93319,
303,93321,
304,93325,
305,93326,
306,93349,
307,93390,
308,93394,
309,93398,
310,93416,
311,93422,
312,93449,
313,94321,
314,94845,
315,95870,
316,95960,
317,95990,
318,96444,
319,97263,
320,97274,
321,97743,
322,97747,
323,97756,
324,97850,
325,97860,
326,97863,
327,97868,
328,97874,
329,97903,
330,97917,
331,97972,
332,97983,
333,97985,
334,98003,
335,98005,
336,98017,
337,98902,
338,100603,
